user_id,sex,age,view_duration,view_times,event_time,resource_content,resource_image_url
72,female,17,73097,2,2022-08-21,这滑板车不错，谁知道这是什么牌子的吗,https://ts1.cn.mm.bing.net/th/id/R-C.d4a2d4dd30fcbfc350c0f43fd7e1117e?rik=%2frh3RTmCEVkCMg&riu=http%3a%2f%2fimg.ewebweb.com%2fuploads%2f20190821%2f12%2f1566361031-zDIyQuLXOj.jpeg&ehk=4sKFgIIKa6LjXAMT0BxwLbUZi%2fGXA%2f%2bgiPTjtftVEz8%3d&risl=&pid=ImgRaw&r=0
35,man,48,330032,1,2022-08-24,哎呀，开车太难了，我还是选择公共交通吧,https://tse1-mm.cn.bing.net/th/id/OIP-C.Mrn1lHjLlFHFv6ABgfFZgAHaE8?pid=ImgDet&rs=1
3,man,40,519674,4,2022-08-18,今天天气真不错,https://tse1-mm.cn.bing.net/th/id/OIP-C.Mrn1lHjLlFHFv6ABgfFZgAHaE8?pid=ImgDet&rs=1
3,female,45,439159,5,2022-08-22,电脑，平板，手机，都是我的最爱，这款手机我可是等了好久,https://ts1.cn.mm.bing.net/th/id/R-C.d4a2d4dd30fcbfc350c0f43fd7e1117e?rik=%2frh3RTmCEVkCMg&riu=http%3a%2f%2fimg.ewebweb.com%2fuploads%2f20190821%2f12%2f1566361031-zDIyQuLXOj.jpeg&ehk=4sKFgIIKa6LjXAMT0BxwLbUZi%2fGXA%2f%2bgiPTjtftVEz8%3d&risl=&pid=ImgRaw&r=0
2,female,45,391013,4,2022-08-15,哎呀，开车太难了，我还是选择公共交通吧,https://ts1.cn.mm.bing.net/th/id/R-C.d4a2d4dd30fcbfc350c0f43fd7e1117e?rik=%2frh3RTmCEVkCMg&riu=http%3a%2f%2fimg.ewebweb.com%2fuploads%2f20190821%2f12%2f1566361031-zDIyQuLXOj.jpeg&ehk=4sKFgIIKa6LjXAMT0BxwLbUZi%2fGXA%2f%2bgiPTjtftVEz8%3d&risl=&pid=ImgRaw&r=0
76,man,39,331272,5,2022-08-18,今天天气真不错,https://l.b2b168.com/2020/06/20/12/202006201255016329204.jpg
12,female,36,226002,2,2022-08-18,今天天气真不错,https://ts1.cn.mm.bing.net/th/id/R-C.c72deaecbe4e5700da0ae0f13af2fa9a?rik=%2fr9ctzfLWbh3zA&riu=http%3a%2f%2fwww.whatsupmag.cn%2fuploadfile%2f2020%2f0818%2f20200818075130491.jpg&ehk=F%2bvG4YXoG04Wxns1kIoTjbSWxeUbepS5PfCTlrAFwvs%3d&risl=&pid=ImgRaw&r=0
48,female,30,375817,3,2022-08-18,这滑板车不错，谁知道这是什么牌子的吗,https://ts1.cn.mm.bing.net/th/id/R-C.c72deaecbe4e5700da0ae0f13af2fa9a?rik=%2fr9ctzfLWbh3zA&riu=http%3a%2f%2fwww.whatsupmag.cn%2fuploadfile%2f2020%2f0818%2f20200818075130491.jpg&ehk=F%2bvG4YXoG04Wxns1kIoTjbSWxeUbepS5PfCTlrAFwvs%3d&risl=&pid=ImgRaw&r=0
83,man,43,331820,1,2022-08-23,这只狗狗真可爱啊,https://tse1-mm.cn.bing.net/th/id/OIP-C.IDoyUmvAnzFYUoo-HCrLSwHaHa?pid=ImgDet&rs=1
78,female,16,180363,1,2022-08-22,电脑，平板，手机，都是我的最爱，这款手机我可是等了好久,https://l.b2b168.com/2020/06/20/12/202006201255016329204.jpg
73,female,26,596337,4,2022-08-17,这滑板车不错，谁知道这是什么牌子的吗,https://tse1-mm.cn.bing.net/th/id/OIP-C.Mrn1lHjLlFHFv6ABgfFZgAHaE8?pid=ImgDet&rs=1
55,man,32,345761,5,2022-08-25,唯有美食能让我身心愉悦,https://ts1.cn.mm.bing.net/th/id/R-C.c72deaecbe4e5700da0ae0f13af2fa9a?rik=%2fr9ctzfLWbh3zA&riu=http%3a%2f%2fwww.whatsupmag.cn%2fuploadfile%2f2020%2f0818%2f20200818075130491.jpg&ehk=F%2bvG4YXoG04Wxns1kIoTjbSWxeUbepS5PfCTlrAFwvs%3d&risl=&pid=ImgRaw&r=0
93,female,20,587619,4,2022-08-23,今天天气真不错,https://ts1.cn.mm.bing.net/th/id/R-C.9736acac1e94833d9fff58d648d3e2d9?rik=is22szBwCXHuNQ&riu=http%3a%2f%2fupload.site.cnhubei.com%2f2013%2f0204%2fthumb_940__1359966917548.jpg&ehk=BHVmgcmdAsGeDoLA7xOeVFy60Q3UDiqy8LfkESpkxV4%3d&risl=&pid=ImgRaw&r=0
92,man,33,90305,2,2022-08-21,电脑，平板，手机，都是我的最爱，这款手机我可是等了好久,https://tse1-mm.cn.bing.net/th/id/OIP-C.IDoyUmvAnzFYUoo-HCrLSwHaHa?pid=ImgDet&rs=1
32,female,30,317262,5,2022-08-23,电脑，平板，手机，都是我的最爱，这款手机我可是等了好久,https://ts1.cn.mm.bing.net/th/id/R-C.d4a2d4dd30fcbfc350c0f43fd7e1117e?rik=%2frh3RTmCEVkCMg&riu=http%3a%2f%2fimg.ewebweb.com%2fuploads%2f20190821%2f12%2f1566361031-zDIyQuLXOj.jpeg&ehk=4sKFgIIKa6LjXAMT0BxwLbUZi%2fGXA%2f%2bgiPTjtftVEz8%3d&risl=&pid=ImgRaw&r=0
66,man,36,340754,1,2022-08-23,今天天气真不错,https://ts1.cn.mm.bing.net/th/id/R-C.c72deaecbe4e5700da0ae0f13af2fa9a?rik=%2fr9ctzfLWbh3zA&riu=http%3a%2f%2fwww.whatsupmag.cn%2fuploadfile%2f2020%2f0818%2f20200818075130491.jpg&ehk=F%2bvG4YXoG04Wxns1kIoTjbSWxeUbepS5PfCTlrAFwvs%3d&risl=&pid=ImgRaw&r=0
34,female,37,556610,4,2022-08-15,今天天气真不错,https://tse1-mm.cn.bing.net/th/id/OIP-C.Mrn1lHjLlFHFv6ABgfFZgAHaE8?pid=ImgDet&rs=1
93,man,36,455718,3,2022-08-21,今天天气真不错,https://ts1.cn.mm.bing.net/th/id/R-C.d4a2d4dd30fcbfc350c0f43fd7e1117e?rik=%2frh3RTmCEVkCMg&riu=http%3a%2f%2fimg.ewebweb.com%2fuploads%2f20190821%2f12%2f1566361031-zDIyQuLXOj.jpeg&ehk=4sKFgIIKa6LjXAMT0BxwLbUZi%2fGXA%2f%2bgiPTjtftVEz8%3d&risl=&pid=ImgRaw&r=0
34,man,34,5014,1,2022-08-17,这滑板车不错，谁知道这是什么牌子的吗,https://img.zcool.cn/community/0193e456dfbe1d32f875520f1e697f.JPG@1280w_1l_2o_100sh.jpg
49,female,34,67178,4,2022-08-17,唯有美食能让我身心愉悦,https://ts1.cn.mm.bing.net/th/id/R-C.c72deaecbe4e5700da0ae0f13af2fa9a?rik=%2fr9ctzfLWbh3zA&riu=http%3a%2f%2fwww.whatsupmag.cn%2fuploadfile%2f2020%2f0818%2f20200818075130491.jpg&ehk=F%2bvG4YXoG04Wxns1kIoTjbSWxeUbepS5PfCTlrAFwvs%3d&risl=&pid=ImgRaw&r=0
62,female,34,233742,2,2022-08-24,这家餐厅超赞，尤其是牛排,https://l.b2b168.com/2020/06/20/12/202006201255016329204.jpg
